Company Name,Company URL,About,Summary,Industry,Location
ETAP Software,https://www.linkedin.com/company/operation-technology-inc-/,,"Comprehensive Software Suite (ETAP, SEE, Caneco) to Design, Build, Operate and Maintain Electrical Systems",Software Development,"Irvine, CA"
Iris Software Inc.,https://www.linkedin.com/company/iris-software-inc./,,"Iris Software has been a trusted software engineering partner to several Fortune 500 companies for over three decades. We help clients realize the full potential of technology-enabled transformation by bringing together a unique blend of domain knowledge, best-of-breed technologies, and experience executing essential...",IT Services and IT Consulting,"Edison, NJ"
Momentive Software,https://www.linkedin.com/company/momentivesoftware/,,"Momentive Software amplifies the impact of over 20,000 purpose-driven organizations in more than 30 countries, with over $11 billion raised and 55 million members served to date. Mission-driven nonprofits and associations rely on Momentive’s cloud-based software and services to address their most pressing challenges...",Software Development,"St. Petersburg, Florida"
Quark Software Inc.,https://www.linkedin.com/company/quark/,,"Quark knows content. The company revolutionized desktop publishing and today provides content automation, intelligence and design software for end-to-end content lifecycle management. Customers worldwide rely on Quark to modernize their content ecosystems so they can create complex print and digital layouts, automate...",Software Development,"Grand Rapids, Michigan"
NewVision Software,https://www.linkedin.com/company/newvisionhq/,,"NewVision Software is a leading IT consulting company. With expertise in digital technology, we empower businesses to transform and excel. Headquartered in India, we serve clients globally, delivering innovative solutions across industries. Our goal is to navigate new frontiers of technology and drive digital...",IT Services and IT Consulting,"Peachtree Corners, Georgia"
Daffodil Software,https://www.linkedin.com/company/daffodil-software-ltd-/,,Your Technology Partner for Custom Software Engineering & Innovation,IT Services and IT Consulting,"Grandville, MI"
Trigent Software Inc,https://www.linkedin.com/company/trigent-software/,,"Trigent is a global leader in software solutions, headquartered in Southborough, MA, with development centers in Boston, Bangalore.  As an ISO 9001:2008 certified company, Trigent provides proven results to global Independent Software Vendors (ISVs), Fortune 500 enterprises and SMBs in the High Tech, Healthcare...",IT Services and IT Consulting,"Southborough, MA"
OneData Software Solutions,https://www.linkedin.com/company/onedata-software-solutions/,,Data-Driven Solutions | Software Development | Cloud Consulting | AWS | Data Analytics | Website Development,IT Services and IT Consulting,"Fort Mill, South Carolina"
Raven Software,https://www.linkedin.com/company/raven-software/,,"RAVEN SOFTWARE is the developer of numerous award-winning games, including significant contributions to the blockbuster Call of Duty series.  Founded in 1990 by brothers Brian and Steve Raffel, Raven Software has gone from a five-person company with a dream of creating a role-playing game for the Amiga...",Computer Games,"Middleton, Wisconsin"
"International Software Systems, Inc.",https://www.linkedin.com/company/international-software-systems-inc./,,"International Software Systems, Inc. (ISSI) stands as a prominent IT services provider in Greenbelt, Maryland. Our mission is to deliver exceptional solutions to a diverse range of clients, including Federal, State, Local, and Commercial organizations. With a remarkable history spanning 28 years, ISSI has made...",IT Services and IT Consulting,"Greenbelt, Maryland"
Ultimate Software,https://www.linkedin.com/company/ultimate-software/,,"Built from the merger of Ultimate Software & Kronos Inc, we are now UKG. We provide global #HCM, #payroll and #workforcemanagement solutions.",Software Development,"Weston, FL"
Quest Software,https://www.linkedin.com/company/quest-software/,,"At Quest Software, we help organizations build modern, trusted foundations for AI.  As a global leader in data management, cybersecurity, and platform modernization, we’ve spent decades supporting thousands of enterprises and public sector organizations, including over 90% of the Fortune 500. Our mission is to empower...",Software Development,"Austin, Texas"
Bosch Global Software Technologies,https://www.linkedin.com/company/bosch-global-software-technologies/,,"With our unique ability to offer end-to-end solutions that connect the three pillars of IoT - Sensors, Software, and Services, we enable businesses to move from the traditional to the digital, or improve businesses by introducing a digital element in their products and processes.  Now more than ever, companies across...",Software Development,"Bangalore, Karnataka"
CWI Software,https://www.linkedin.com/company/cwi-software/,,"Talvez você ainda não tenha se dado conta, mas a CWI pode já ser parte do seu cotidiano. Afinal, nossos projetos estão presentes em produtos e serviços consumidos mundialmente.  Sabe para quem entregamos Estratégia Digital e Engenharia de Software? Via, Arezzo & Co, Coca-Cola, Vivo, Renner, Grupo Big, FedEx...",Software Development,"Porto Alegre, RS"
RIB Software,https://www.linkedin.com/company/rib-software/,,...Software GmbH is a proud member of Schneider Electric.,Software Development,"Stuttgart, Baden-Württemberg"
Sonata Software,https://www.linkedin.com/company/sonata-software/,,"Sonata Software Limited is a leading Modernization engineering company, headquartered in Bangalore. Sonata provides modernization services using its proprietary Platformation™ approach. It specializes in cloud and data modernization, Microsoft Dynamics Modernization, Digital contact center setup and management...",IT Services and IT Consulting,"Bangalore, Karnataka"
AFAS Software,https://www.linkedin.com/company/afas-software/,,AFAS Software is a Dutch family-owned company that develops software products for businesses. With our application we strive to reduce administrative work as much as possible or make it a little less boring where we can. We believe our employees are our most valuable asset and it is their goal to make our 12.000...,Software Development,"Leusden, Utrecht"
Ceiba Software,https://www.linkedin.com/company/ceibasoftware/,,"Ceiba Software provides custom software services, helping clients solve complex technical challenges with comprehensive, value-add staff augmentation...",IT Services and IT Consulting,"Medellín, Antioquia"
Aranda Software,https://www.linkedin.com/company/aranda-software-corp/,,"Aranda Software es la compañía líder en soluciones de gestión de servicios empresariales en Latinoamérica, con más de 20 años de experiencia en ofrecer soluciones para el manejo empresarial de infraestructura tecnológica, alineadas a las mejores prácticas ITIL® (Aranda Suite V9.0 se encuentra certificada en 13...",IT Services and IT Consulting,"Bogotá, D.C."
Sigma Software Group,https://www.linkedin.com/company/sigma-software-group/,,"Sigma Software Group, an award-winning and trusted IT partner, has been serving customers for over 22 years, providing comprehensive IT solutions to various businesses, ranging from startups to established software product houses. As one of Europe's substantial IT consultancies, it brings together a dedicated...",Software Development,Stockholm
KeyValue Software Systems,https://www.linkedin.com/company/keyvaluesystems/,,"A premier global early-stage AI-first product development hub. KeyValue is the best delivery engine for product development in the Indian subcontinent – leveraging AI to deliver high-value software products and solutions across industries, geographies, and technologies. We are a 450+ engineering team...",Software Development,"Kochi, Kerala"
Talentica Software,https://www.linkedin.com/company/talentica/,,Talentica Software is an innovative product development company that helps startups and technology companies build their own products. We help technology companies transform their ideas into successful products by partnering in their roadmap from pre-funded startups to a profitable acquisition.  We have successfully...,Software Development,"Pune, Maharashtra"
Creative Software,https://www.linkedin.com/company/creativesoftware/,,A global technology enabler and Microsoft Gold Partner; we build and manage dedicated software development teams.,Software Development,Colombo
Contour Software,https://www.linkedin.com/company/contoursoftware/,,"Contour Software is a wholly owned subsidiary of Constellation Software Inc (CSI). CSI (http://www.csisoftware.com/) acquires, manages and builds market-leading software businesses that develop industry-specific, mission-critical enterprise software solutions to serve both the public and private sectors. Prior...",IT Services and IT Consulting,"Karachi, Sindh"
ELMO Software,https://www.linkedin.com/company/elmo-software/,,"AI-forward HR and payroll software powering 2,000+ organisations and one million end users across Australia & NZ.",Software Development,"Sydney, NSW"
Casino software development - Gambit Stream - Casino sportsbook sports betting software development,https://www.linkedin.com/company/gambit-stream/,,Casino software sportsbook casino gambling betting software development company,Software Development,"Kyiv, Kyiv"
Kaz Software,https://www.linkedin.com/company/kaz-software-limited/,,The power to make great software.,Software Development,"Dhaka, Dhaka"
Aspire Software,https://www.linkedin.com/company/aspire-software/,,Aspire Software is a global software investment company specializing in acquiring and growing vertical market software businesses. As an operating group...,Software Development,"Montreal, Quebec"
Absorb Software,https://www.linkedin.com/company/absorb-software/,,"Absorb Software is the leading global AI-driven learning platform provider, helping organizations unlock the full potential of their workforce. With its innovative Strategic Learning Systems (SLS) approach, Absorb empowers businesses to align learning with strategic goals, driving measurable impact and workforce...",E-learning,"Calgary, Alberta"
Lepton Software,https://www.linkedin.com/company/lepton-software/,,"Lepton Software is a pioneering force in geospatial intelligence, renowned for its innovative technology solutions tailored for the telecommunications...",IT Services and IT Consulting,"Gurgaon, Haryana"
Ericsson Software,https://www.linkedin.com/company/ericsson-software/,,Welcome to the exciting world of telecom software. Join the conversation!,Telecommunications,"Kista, Stockholm"
Rishabh Software,https://www.linkedin.com/company/rishabh-software/,,Custom Software Development Company,IT Services and IT Consulting,"Vadodara, Gujarat"
Universal Software,https://www.linkedin.com/company/universal-software/,,Intelligent Software Solutions.,IT System Custom Software Development,"Ahmedabad, Gujarat"
Critical Software,https://www.linkedin.com/company/critical-software/,,"At Critical Software, we believe our people are the core of who we are. Their talent, diversity, and ability to go beyond expectations shape everything...",Information Technology & Services,Coimbra
Prakhar Software Solutions Ltd.,https://www.linkedin.com/company/prakhar-software/,,"...projects, specialising in e-Governance initiatives. - Talent Acquisition & Staffing: Secure the right talent with our expertise. - Software Development & Web...",Information Technology & Services,"Delhi, Delhi"
Siemens PLM Software (inactive),https://www.linkedin.com/company/siemens-plm-software/,,"Siemens Digital Industries Software is driving transformation to enable a digital enterprise where engineering, manufacturing and electronics design meet tomorrow. Our solutions help companies of all sizes create and leverage digital twins that provide organizations with new insights, opportunities and levels...",Software Development,"Plano, TX"
Check Point Software,https://www.linkedin.com/company/check-point-software-technologies/,,"Check Point Software Technologies Ltd. is a leading protector of digital trust, utilizing AI-powered cyber security solutions to safeguard over 100,000 organizations globally. Through its Infinity Platform and an open garden ecosystem, Check Point’s prevention-first approach delivers industry-leading security efficacy...",Computer and Network Security,"Redwood City, California"
First Line Software,https://www.linkedin.com/company/first-line-software-inc/,,"We build custom software that moves industries forward. The global First Line Software team works across healthcare, real estate, and other data-rich industries to design, build, and run solutions that make a real impact.  We solve complex business challenges with scalable technology, combining deep expertise...",IT System Custom Software Development,"Cambridge, Massachusetts"
SoftExpert - Software for Excellence,https://www.linkedin.com/company/softexpert-software/,,"All-in-one software for managing digital transformation, innovation, and compliance.",Software Development,"Orlando, Florida"
Rocket Software,https://www.linkedin.com/company/rocket-software/,,"As a global technology leader, Rocket Software is the partner of choice for organizations transforming their IT from core systems to the cloud. We are trusted...",IT Services and IT Consulting,"Waltham, MA"
Folio3 Software,https://www.linkedin.com/company/folio3/,,"Folio3 is a California based software development company that helps entrepreneurs and large corporations build innovative, world class software solutions by providing offshore application development and support.    We specialize in Enterprise Applications, Mobile Apps & Games, Websites & Web based Applications...",Software Development,"San Mateo, California"
Python Software Foundation,https://www.linkedin.com/company/thepsf/,,The Python Software Foundation is the non-profit organization behind the Python programming language.,Software Development,"Beaverton, OR"
Greenhouse Software,https://www.linkedin.com/company/greenhouse-inc-/,,"Greenhouse is the all-together hiring platform, giving companies of all sizes everything they need to hire better. Our software provides comprehensive...",Software Development,"New York, New York"
The Apache Software Foundation,https://www.linkedin.com/company/the-apache-software-foundation/,,"The global home for open source software, powering some of the world’s most ubiquitous software projects.",Software Development,"Wilmington, Delaware"
Redwood Software,https://www.linkedin.com/company/redwood-software/,,"Redwood Software is the leader in automation fabric solutions for mission-critical business processes. With the first SaaS-based composable automation platform specifically built for ERP, we believe in the transformative power of automation. Our unparalleled solutions empower organizations to orchestrate, manage...",Software Development,"Frisco, Texas"
Brightly Software,https://www.linkedin.com/company/brightlysoftware/,,"Brightly Software, a Siemens company, enables organizations to manage the entire lifecycle of their assets, facilities and infrastructure. As the global leader in intelligent asset management solutions for more than 25 years, Brightly’s sophisticated cloud-based platform is expertly designed to improve capital...",Software Development,"Raleigh, North Carolina"
Aurigo Software Technologies,https://www.linkedin.com/company/aurigo-software-technologies/,,"Aurigo builds software that helps build the world. Aurigo provides AI-powered, cloud-based solutions designed to help capital infrastructure and private owners plan with confidence, build with quality, and manage assets efficiently. With more than $450 billion of capital programs under management, Aurigo’s solutions...",Software Development,"Austin, Texas"
TALENT Software Services,https://www.linkedin.com/company/talent-software-services/,,"TALENT Software Services is a Service Disabled Veteran-Owned Small Business (SDVOSB) providing the best IT Consulting and Professional Services nationwide for over 35 years. We are one of the most trusted partners for delivery of Project, Data Management, Application, and Infrastructure Services,  TALENT staffs...",IT Services and IT Consulting,"St. Paul, Minnesota"
"Miracle Software Systems, Inc",https://www.linkedin.com/company/miraclesoft/,,"Miracle Software Systems is a global IT services company that has been consistently delivering true value for businesses for the past 29 years. We're here, across the world, with top talent and innovative solutions to optimize and transform your businesses to high-performance platforms, thus enabling digitization...",Information Technology & Services,"Novi, Michigan"
MSC Software,https://www.linkedin.com/company/msc-software/,,"MSC Software, part of Hexagon’s Manufacturing Intelligence division, is one of the ten original software companies and a global leader in helping product manufacturers to advance their engineering methods with simulation software and services.   At Hexagon, we don’t just measure the world – we define its future...",Software Development,"Newport Beach, CA"
Kastech Software Solutions Group,https://www.linkedin.com/company/kastech-software-solutions-group/,,"Kastech Software Solutions Group, incorporated in 2007 and headquartered in Richmond, Texas, is a leading global IT services and consulting company delivering technology-driven solutions to organizations across industries. With offices across North America, APAC, Latin America, the Middle East, and Australia...",IT Services and IT Consulting,"Richmond, Texas"
Scadea Software Solutions,https://www.linkedin.com/company/scadea-software-solutions/,,"Scadea Software Solutions has established itself as a global provider of Consulting, and Outsourcing services.",IT Services and IT Consulting,"Princeton, New Jersey"
MAQ Software,https://www.linkedin.com/company/maq-software/,,"MAQ Software enables leading companies to accelerate their Data and AI  initiatives. Our solutions enable clients to improve their productivity, reduce costs...",Information Technology & Services,"Redmond, Washington"
Primus Software Corporation,https://www.linkedin.com/company/primus-software-corp./,,"Primus Software Corporation, a leading software services company with over 29 years of industry experience, is a trusted Business & Technology Partner...",IT Services and IT Consulting,"Duluth, Georgia"
RS Software,https://www.linkedin.com/company/rs-software/,,RS Software delivers trust in payments through products and platforms that power some of the world’s most advanced digital payment ecosystems. With offices...,IT Services and IT Consulting,"Milpitas, California"
Netlink Software Group America Inc,https://www.linkedin.com/company/netlinksolutions/,,"...the globe. Our digital transformational business solutions include Automation, ERP Services, BI & Analytics Services, Software Factory as a Service, Artificial...",IT Services and IT Consulting,"Madison Heights, Michigan"
id Software,https://www.linkedin.com/company/id-software/,,"id Software is looking for talented individuals to join our team at our offices in Richardson, TX and Frankfurt, Germany",Computer Games,
BMC Software,https://www.linkedin.com/company/bmc-software/,,,IT Services and IT Consulting,"Houston, Texas"
ISTQB® - International Software Testing Qualifications Board,https://www.linkedin.com/company/istqb/,,ISTQB® is the leading global certification scheme in the field of software testing with over 1 million exams worldwide.,Software Development,
LEAP Legal Software,https://www.linkedin.com/company/leap-legal-software/,,"LEAP is an international leader in client-first legal software. We’re powered by a global team of technological innovators and legal experts, supporting firms across the United States, Canada, United Kingdom, Australia, and New Zealand. Our all-in-one productivity platform empowers legal professionals worldwide...",Software Development,"Sydney, NSW"
Bosch Global Software Technologies Vietnam,https://www.linkedin.com/company/bosch-global-software-technologies-vietnam/,,"Bosch Global Software Technologies Vietnam (BGSW) is a 100% owned subsidiary of Robert Bosch GmbH - one of the world’s leading supplier of technology and services. Founded in 2010 at Ho Chi Minh City, BGSW Vietnam is the first software development center of Bosch in the South East Asia. BGSW Vietnam provides solutions...",IT Services and IT Consulting,"Ho Chi Minh City, Tan Binh"
Art Technology and Software,https://www.linkedin.com/company/art-technology-and-software-india-pvt-ltd/,,"Art Technology and Software is a reliable digital transformation company with a successful track record across Artificial Intelligence, Data Analytics, and Digital Transformation. With 20+ years of excellence, 1000+ successful projects, and customers in 20+ countries, we help organizations innovate at scale...",IT Services and IT Consulting,"Kochi, Kerala"
CG-VAK Software & Exports Ltd.,https://www.linkedin.com/company/cg-vak-software-&-exports-ltd/,,"CG-VAK Software is a leading offshore software development company with 30 years of industry experience, serving clients across the USA, UK, Canada, Europe, Australia, Singapore, and South Africa. With a team of 525+ skilled professionals, we deliver innovative, Software product engineering solutions, Custom software...",IT Services and IT Consulting,"Coimbatore, Tamil Nadu"
SOC - Software Integrado de Gestão Ocupacional,https://www.linkedin.com/company/socgestaosst/,,SOC is the largest and most complete 100% online Integrated Occupational Management Software in Brazil!,Software Development,"Santos, São Paulo"
Profile Software Services,https://www.linkedin.com/company/profile-software-services/,,"Profile Software Services is a software architecture and development company, made up of more than 140 people, experts in Software Architecture, Web and Mobile Developement, Cloud Computing, APIs and UX  Based in Madrid, Barcelona and Seville, we help organizations in their path to digital transformation...",IT Services and IT Consulting,"Madrid, Comunidad de Madrid"
Siemens Digital Industries Software,https://www.linkedin.com/company/siemenssoftware/,,"We help organizations of all sizes digitally transform using software, hardware and services from the Siemens Xcelerator business platform. Our software and the comprehensive digital twin enable companies to optimize their design, engineering and manufacturing processes to turn today's ideas into the sustainable...",Software Development,"Plano, Texas"
Veeam Software,https://www.linkedin.com/company/veeam-software/,,,Software Development,"Seattle, WA"
Sonatafy Technology | Nearshore Software Development,https://www.linkedin.com/company/sonatafy/,,NEARSHORE SOFTWARE DEVELOPMENT. Gain access to the top 1% of English speaking Software Engineers in Latin America.,Software Development,"Scottsdale, Arizona"
Pharos Production - web3 software development,https://www.linkedin.com/company/pharos-production-web3-software-development/,,Web3 Blockchain DeFi FinTech software development,Software Development,"Las Vegas, Nevada"
IBS Software,https://www.linkedin.com/company/ibssoftware/,,"IBS Software is a leading SaaS solutions provider to the travel industry globally, managing mission-critical operations for customers in the aviation, tour...",Software Development,Singapore
IRIS Software Group,https://www.linkedin.com/company/iris-software-group/,,"IRIS Software Group is a leading business software and services provider, one of the UK’s largest privately held software companies. We help organisations to make better business decisions by developing integrated software solutions to minimise admin, make business processes more efficient and give more time...",Software Development,"Slough, Berkshire"
Metacube Software Pvt Ltd,https://www.linkedin.com/company/metacube/,,"...client focus, ensuring that each engagement is a success and provides the desired value to the client.    Metacube has software product engineering services as a key...",Software Development,"Jaipur, Rajasthan"
Belzabar Software Design India Private Limited,https://www.linkedin.com/company/belzabar-software-design-india-private-limited/,,"Every day, millions of people use software Belzabar has created. Belzabar Software creates Web and mobile-based products on behalf of a remarkable client base...",Software Development,New Delhi
QSpiders - Software Testing Training Institute,https://www.linkedin.com/company/qspiders/,,QSpiders is No.1 software testing training institute in India with a view to bridge the gap between industry requirement and curriculum of educational institutions and also to meet the ever increasing demand for Quality IT professional. The institute is designed to work as a ‘Finishing School’ and is moulded...,"Bangalore, Karnataka",
Constellation Software Inc.,https://www.linkedin.com/company/constellation-software-inc./,,"Constellation Software is an international provider of market leading software and services to a select number of industries, both in the public and private sectors. Our mission is to acquire, manage and build market-leading software businesses that develop specialized, mission-critical software solutions to address...",Software Development,"Toronto, ON"
FPT Software,https://www.linkedin.com/company/fpt-software/,,"FPT Software, a subsidiary of FPT Corporation, is a global technology and IT services provider headquartered in Vietnam, with USD 1.22 billion in revenue (2024) and over 33,000 employees in 30 countries.   Embracing an AI-first approach, FPT Software enables breakthrough speed, scalability and quality through AI...",IT Services and IT Consulting,Hanoi
Pranathi Software Services Pvt. Ltd,https://www.linkedin.com/company/pranathi-software-services-pvt-ltdd/,,"Pranathi Software Services is a leading provider in AI and ML services, web development, chatbot development, natural language processing (NLP), and deep learning. Specializing in crafting innovative solutions, the company is dedicated to delivering customized software solutions. We harness the capabilities...",Software Development,"Begumpet, Hyderabad, Telangana"
NEC Software Solutions,https://www.linkedin.com/company/necsws/,,"Innovation when it matters most. We build software and services that help keep people safer, healthier, and better connected worldwide.   Our customers...",IT Services and IT Consulting,Hemel Hempstead
Nice Software Solutions Pvt. Ltd.,https://www.linkedin.com/company/nice-software-solutions/,,"Nice Software Solutions – An idea over a coffee transformed into a bold vision. In 2008, NSS began with a simple yet powerful vision: to help businesses unlock...",IT Services and IT Consulting,"Nagpur, Maharashtra"
FPT Software Career,https://www.linkedin.com/company/fptsoftwarecareer/,,"FPT Software Career is the official recruitment channel of FPT Software, dedicated to connecting talented professionals with impactful technology careers.  FPT Software, a subsidiary of FPT Corporation, stands as a global technology leader - recognized as the Largest IT Services Company in Fortune 500 SEA. We harness...",IT Services and IT Consulting,Ha Noi
TekIT Software Solutions Pvt. Ltd. (India & USA),https://www.linkedin.com/company/tekit-softwares/,,"TekIT delivers smart AI/ML solutions to solve real business challenges—enabling predictive insights, automation, and better decision-making for optimized performance.  IT Staff Augmentation & software solution | Digital Transformation  TekIT Software Solutions is a premier IT services and staff augmentation company...",IT Services and IT Consulting,"Indore, Madhya Pradesh"
ESDS Software Solution Limited,https://www.linkedin.com/company/esdsdc/,,"ESDS Software Solution Limited begin its operations in 2005 from Nashik. ESDS Software Solution Limited is a leading player offering end-to-end in the cloud, managed services, Data Centre infrastructure and software solutions in India. ESDS Software Solution Limited operations are supported by a dedicated team...",IT Services and IT Consulting,"Nashik, Maharashtra"
InfyStrat Software Services,https://www.linkedin.com/company/infystrat-software-services/,,"InfyStrat Software Services is an IT Strategic partner for global organizations looking to strategically transform, grow, and lead in today’s challenging business environment.InfyStrat being a global leader in  IT services, digital, business solutions, consulting, technology, outsourcing, and next-generation services...",IT Services and IT Consulting,"Johannesburg, Gauteng"
Toshiba Software (India) Pvt. Ltd.,https://www.linkedin.com/company/toshiba-software-india-pvt-ltd/,,"Toshiba Software (India) Pvt. Ltd., (TSIP) is a wholly-owned subsidiary of Toshiba Corporation, Japan. Since our inception in the year 2002, we have been standing at the forefront of cutting-edge technologies by providing competitive and innovative software solutions to enable our customers in achieving and sustaining...",Information Technology & Services,"Bangalore, Karnataka"
Midtown Software,https://www.linkedin.com/company/midtownsoftware/,,Innovative Software That Changes Lives!,IT Services and IT Consulting,"Mohali, Punjab"
Global Software Solutions Group,https://www.linkedin.com/company/gssgroups/,,"Global Software Solutions Group Veracious product line is a series of robust banking platforms that provide core banking, payment systems, custom process...",IT Services and IT Consulting,"Dubai Internet City,, Dubai"
